cdtCode	 description	 category	 hpmsCategory
D2792	crown - full cast noble metal 	Restorative 	Comprehensive - Restorative
D2794	crown - titanium 	Restorative 	Comprehensive - Restorative
D2799	provisional crown - further treatment or completion of diagnosis necessary prior to final impression 	Restorative 	Comprehensive - Restorative
D2910	recement or re-bond inlay, onlay, veneer or partial coverage restoration 	Restorative 	Comprehensive - Restorative
D2915	recement or re-bond cast indirectlty fabricated or prefabricated post and core 	Restorative 	Comprehensive - Restorative
D2920	recement or re-bond crown 	Restorative 	Comprehensive - Restorative
D2921	reattachment of tooth fragment, incisal edge or cusp 	Restorative 	Comprehensive - Restorative
D2930	prefabricated stainless steel crown - primary tooth 	Restorative 	Comprehensive - Restorative
D2931	prefabricated stainless steel crown - permanent tooth 	Restorative 	Comprehensive - Restorative
D2932	prefabricated resin crown 	Restorative 	Comprehensive - Restorative
D2933	prefabricated stainless steel crown with resin window 	Restorative 	Comprehensive - Restorative
D2934	prefabricated esthetic coated stainless steel crown - primary tooth 	Restorative 	Comprehensive - Restorative
D2940	protective restoration 	Restorative 	Comprehensive - Restorative
D2941	interim therapeutic restoration-primary dentition 	Restorative 	Comprehensive - Restorative
D2950	Core buildup, including any pins when required 	Restorative 	Comprehensive - Restorative
D2951	pin retention - per tooth, in addition to restoration 	Restorative 	Comprehensive - Restorative
D2952	cast post and core in addition to crown 	Restorative 	Comprehensive - Restorative
D2953	each additional indirectly fabricated post, same tooth 	Restorative 	Comprehensive - Restorative
D2954	prefabricated post and core in addition to crown 	Restorative 	Comprehensive - Restorative
D2955	Post removal (not in conjunction with endodontic therapy) 	Restorative 	Comprehensive - Restorative
D2957	each additional prefabricated post, same tooth 	Restorative 	Comprehensive - Restorative
D2962	labial veneer (porcelain laminate) - laboratory 	Restorative 	Comprehensive - Restorative
D2971	Additional procedures to construct new crown under partial denture framework 	Restorative 	Comprehensive - Restorative
D2975	coping 	Restorative 	Comprehensive - Restorative
D2980	crown repair necessitated by restorative material failure 	Restorative 	Comprehensive - Restorative
D2981	inlay repair necessitated by restorative material failure 	Restorative 	Comprehensive - Restorative
D2982	onlay repair necessitated by restorative material failure 	Restorative 	Comprehensive - Restorative
D2999	Unspecified restorative procedure, by report 	Restorative 	Comprehensive - Restorative
D3110	pulp cap - direct (excluding final restoration) 	Endodontics 	Comprehensive - Endodontics
D3120	pulp cap - indirect (excluding final restoration) 	Endodontics 	Comprehensive - Endodontics
D3220	therapeutic pulpotomy (excluding final restoration) 	Endodontics 	Comprehensive - Endodontics
D3221	pulpal debridement, primary and permanent teeth 	Endodontics 	Comprehensive - Endodontics
D3222	partial pulpotomy for apexogenesis - permanent tooth with incomplete root development 	Endodontics 	Comprehensive - Endodontics
D3230	pulpal therapy (resorbable filling) - anterior, primary tooth (excluding final restoration) 	Endodontics 	Comprehensive - Endodontics
D3240	pulpal therapy (resorbable filling) - posterior, primary tooth (excluding final restoration) 	Endodontics 	Comprehensive - Endodontics
D3310	endodontic therapy, anterior tooth (excluding final restoration) 	Endodontics 	Comprehensive - Endodontics
D3320	endodontic therapy, premolar tooth (excluding final restoration) 	Endodontics 	Comprehensive - Endodontics
D3330	endodontic therapy, molar (excluding final restoration) 	Endodontics 	Comprehensive - Endodontics
D3331	treatment of root canal obstruction, non-surgical access 	Endodontics 	Comprehensive - Endodontics
D3332	incomplete endodontic therapy; inoperable, unrestorable or fractured tooth 	Endodontics 	Comprehensive - Endodontics
D3333	internal tooth repair of performation defects 	Endodontics 	Comprehensive - Endodontics
D3346	retreatment of previous root canal therapy - anterior 	Endodontics 	Comprehensive - Endodontics
D3347	retreatment of previous root canal therapy - premolar 	Endodontics 	Comprehensive - Endodontics
D3348	retreatment of previous root canal therapy - molar 	Endodontics 	Comprehensive - Endodontics
D3351	Apexification/recalcification-initial visit (apical closure/calcific repair of perforations, root resorption, etc 	Endodontics 	Comprehensive - Endodontics
D3352	Apexification/recalcification/pulpal regeneration - interim medication replacement 	Endodontics 	Comprehensive - Endodontics
D3353	apexification/recalcification - final visit (includes completed root 	Endodontics 	Comprehensive - Endodontics
D3355	Pupal regeneration-initial visit 	Endodontics 	Comprehensive - Endodontics
D3356	Pulpal regeneration-interim medicament replacement 	Endodontics 	Comprehensive - Endodontics
D3357	Pulpal regeneration-completion of treatment 	Endodontics 	Comprehensive - Endodontics
D3410	Apicoectomy - anterior 	Endodontics 	Comprehensive - Endodontics
D3421	Apicoectomy - premolar (first root) 	Endodontics 	Comprehensive - Endodontics
D3425	Apicoectomy - molar (first root) 	Endodontics 	Comprehensive - Endodontics
D3426	Apicoectomy (each additional root) 	Endodontics 	Comprehensive - Endodontics
D3427	periradicular surgery without apicoectomy 	Endodontics 	Comprehensive - Endodontics
D3430	retrograde filling - per root 	Endodontics 	Comprehensive - Endodontics
D3450	root amputation - per root 	Endodontics 	Comprehensive - Endodontics
D3460	Endodontic endosseous implant 	Endodontics 	Comprehensive - Endodontics
D3470	intentional reimplantation (including necessary splinting) 	Endodontics 	Comprehensive - Endodontics
D3910	Surgical procedure for isolation of tooth with rubber dam 	Endodontics 	Comprehensive - Endodontics
D3920	hemisection (including any root removal), not including root canal therapy 	Endodontics 	Comprehensive - Endodontics
D3950	Canal preparation and fitting of preformed dowel or post 	Endodontics 	Comprehensive - Endodontics
D3999	Unspecified endodontic procedure, by report 	Endodontics 	Comprehensive - Endodontics
D4210	gingivectomy or gingivoplasty - four or more contiguous teeth or tooth bounded spaces per quadrant 	Periodontics 	Comprehensive - Periodontics
D4211	gingivectomy or gingivoplasty - one to three contiguous teeth or tooth bounded spaces per quadrant 	Periodontics 	Comprehensive - Periodontics
D4230	anatomical crown exposure - four or more contiguous teeth or tooth bounded spaces per quadrant 	Periodontics 	Comprehensive - Periodontics
D4231	anatomical crown exposure - one to three teeth or tooth bounded spaces per quadrant 	Periodontics 	Comprehensive - Periodontics
D4240	gingival flap procedure, including root planning - four or more contiguous teeth or tooth bounded spaces per quadrant 	Periodontics 	Comprehensive - Periodontics
D4241	gingival flap procedure - including root planing -one to three contiguous teeth or tooth bounded spaces per quadrant 	Periodontics 	Comprehensive - Periodontics
D4245	apically positioned flap 	Periodontics 	Comprehensive - Periodontics
D4249	clinical crown lengthening - hard tissue 	Periodontics 	Comprehensive - Periodontics
D4260	osseous surgery (including flap entry and closure) - four or more contiguous teeth or tooth bounded spaces per quadrant 	Periodontics 	Comprehensive - Periodontics
D4261	osseous surgery (including flap entry and closure) - one to three contiguous teeth or tooth bounded spaces per quadrant 	Periodontics 	Comprehensive - Periodontics
D4263	Bone replacement graft - first site in quadrant 	Periodontics 	Comprehensive - Periodontics
D4264	Bone replacement graft - each additional site in quadrant 	Periodontics 	Comprehensive - Periodontics
D4265	biologic materials to aid in soft and osseous tissue regeneration 	Periodontics 	Comprehensive - Periodontics
D4266	guided tissue regeneration - resorbable barrier, per site 	Periodontics 	Comprehensive - Periodontics
D4267	guided tissue regeneration - nonresorbable barrier, per site (Includes membrane removal) 	Periodontics 	Comprehensive - Periodontics
D4268	surgical revision procedure, per tooth 	Periodontics 	Comprehensive - Periodontics
D4270	pedicle soft tissue graft procedure 	Periodontics 	Comprehensive - Periodontics
D4273	autogenous connective tissue graft procedure, per first tooth, implant or endentulous tooth position in graft 	Periodontics 	Comprehensive - Periodontics
D4274	distal or proximal wedge procedure (when not performed in conjunction with surgical procedures in the same anatomical ar 	Periodontics 	Comprehensive - Periodontics
D4275	non-autogenous connective tissue graft (including recipient site and donor material) first tooth implant 	Periodontics 	Comprehensive - Periodontics
D4276	combined connective tissue and double pedicle graft, per tooth 	Periodontics 	Comprehensive - Periodontics
D4277	free soft tissue graft procedure each additional contiguous tooth, implant or edentulous tooth 	Periodontics 	Comprehensive - Periodontics
D4283	autogenous connective tissue graft procedure - each additional contiguous tooth, implant or edentulous tooth 	Periodontics 	Comprehensive - Periodontics
D4285	non-autogenous connective tissue graft procedure - each additional contiguous tooth, implant or edentulous tooth 	Periodontics 	Comprehensive - Periodontics
D4320	provisional splinting - intracoronal 	Periodontics 	Comprehensive - Periodontics
D4321	provisional splinting - extracoronal 	Periodontics 	Comprehensive - Periodontics
D4341	periodontal scaling and root planing - four or more teeth per quadrant 	Periodontics 	Comprehensive - Periodontics
D4342	periodontal scaling and root planing - one - three teeth, per quadrant 	Periodontics 	Comprehensive - Periodontics
D4346	scaling in presence of generalized moderate or severe gingival inflammation 	Periodontics 	Comprehensive - Periodontics
D4355	full mouth debridement to enable comprehensive evaluation and diagnosis on a subsequent visit 	Periodontics 	Comprehensive - Periodontics
D4381	localized delivery of antimicrobial agents via a controlled release vehicle into diseased crevicular tissue, per tooth 	Periodontics 	Comprehensive - Periodontics
D4910	periodontal maintenance 	Periodontics 	Comprehensive - Periodontics
D4920	unscheduled dressing change (by someone other than treating dentist or their staff) 	Periodontics 	Comprehensive - Periodontics
D4999	Unspecified periodontal procedure, by report 	Periodontics 	Comprehensive - Periodontics
D5110	complete denture - maxillary 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5120	complete denture - mandibular 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5130	immediate denture - maxillary 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5140	immediate denture - mandibular 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5211	maxillary partial denture - resin base (including retentive/clasping materials, rests and teeth) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5212	mandibular partial denture - resin base (including retentive/clasping materials, rests and teeth) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5213	maxillary partial denture - cast metal framework with resin denture bases (including any conventional clasps, rests and 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5214	mandibular partial denture - cast metal framework with resin denture bases (including any conventional clasps, rests and 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5221	immediate maxillary partial denture - resin base 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5222	immediate mandibular partial denture - resin base 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5223	immediate maxillary partial denture - cast metal framework with resin denture bases 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5224	immediate mandibular partial denture-cast metal framework with resin denture bases 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5225	maxillary partial denture - flexible base (including any clasps, rests and teeth) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5226	mandibular partial denture - flexible base (including any clasps, rests and teeth) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5282	removable unilateral partial denture – one piece cast metal (including clasps and teeth), maxillary 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5283	removable unilateral partial denture – one piece cast metal (including clasps and teeth), mandibular 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5410	adjust complete denture - maxillary 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5411	adjust complete denture - mandibular 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5421	adjust partial denture - maxillary 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5422	adjust partial denture - mandibular 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5511	repair broken complete denture base - mandibular 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5512	repair broken complete denture base - maxillary 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5520	replace missing or broken teeth - complete denture (each tooth) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5611	repair resin partial denture base - mandibular 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5612	repair resin partial denture base - maxillary 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5621	repair cast partial denture base - mandibular 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5622	repair cast partial denture base - maxillary 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5630	repair or replace broken retentive clasping materials - per tooth 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5640	replace broken teeth - per tooth 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5650	add tooth to existing partial denture 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5660	add clasp to existing partial denture - per tooth 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5670	replace all teeth and acrylic on cast metal framework (maxillary) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5671	replace all teeth and acrylic on cast metal framework (mandibular) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5710	rebase complete maxillary denture 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5711	rebase complete mandibular denture 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5720	rebase maxillary partial denture 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5721	rebase mandibular partial denture 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5730	reline complete maxillary denture (chairside) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5731	reline complete mandibular denture (chairside) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5740	reline maxillary partial denture (chairside) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5741	reline mandibular partial denture (chairside) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5750	reline complete maxillary denture (laboratory) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5751	reline complete mandibular denture (laboratory) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5760	reline maxillary partial denture (laboratory) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5761	reline mandibular partial denture (laboratory) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5810	interim complete denture (maxillary) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5811	interim complete denture (mandibular) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5820	interim partial denture (maxillary) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5821	interim partial denture (mandibular) 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5850	tissue conditioning, maxillary 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5851	tissue conditioning, mandibular 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5862	Precision attachment, by report 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5863	Overdenture-complete maxillary 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5864	Overdenture-partial maxillary 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5865	Overdenture - complete mandibular 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5866	Overdenture-partial mandibular 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5867	Replacement of replaceable part of semi-precision attachment 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5875	Modification of removable prosthesis following implant surgery 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5899	Unspecified removable prosthodontic procedure, by report 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5992	Adjust maxillofacial prosthetic appliance, by report 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D5993	Maintenance and cleaning of a maxillofacial prosthesis (extra or intraoral) other than required adjustments. 	Prosthodontics, removable 	Comprehensive - Prosthodontics
D6205	pontic - indirect resin based composite 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6210	pontic - cast high noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6211	pontic - cast predominantly base metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6212	pontic - cast noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6214	pontic - titanium 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6240	pontic - porcelain fused to high noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6241	pontic - porcelain fused to predominantly base metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6242	pontic - porcelain fused to noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6245	pontic-porcelain/ceramic 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6250	pontic - resin with high noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6251	pontic - resin with predominantly base metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6252	pontic - resin with noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6253	provisional pontic - further treatment or completion of diagnosis necessary prior to final impression 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6545	retainer - cast metal for resin bonded fixed prosthesis 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6548	retainer-porcelain/ceramic for resin bonded fixed prosthesis 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6549	resin retainer - for resin bonded fixed prosthesis 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6600	retainer inlay-porcelain/ceramic, two surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6601	retainer inlay - porcelain/ceramic, three or more surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6602	retainer inlay - cast high noble metal, two surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6603	retainer inlay - cast high noble metal, three or more surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6604	retainer inlay - cast predominantly base metal, two surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6605	retainer inlay - cast predominantly base metal, three or more surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6606	retainer inlay - cast noble metal, two surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6607	retainer inlay - cast noble metal, three or more surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6608	retainer onlay - porcelain/ceramic, two surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6609	retainer onlay - porcelain/ceramic, three or more surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6610	retainer onlay - cast high noble metal, two surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
